angulo_braco_direito,y_punho_direito,y_ombro_direito,angulo_braco_esquerdo,y_punho_esquerdo,y_ombro_esquerdo,rotulo
175,0.7170665264129639,0.5743089914321899,179,0.7349036931991577,0.5857904553413391,correto
179,0.6924729943275452,0.5734283924102783,175,0.7145419716835022,0.5846462845802307,correto
179,0.6740084886550903,0.5724716782569885,169,0.6922841668128967,0.5835925340652466,correto
174,0.6558281183242798,0.5718110203742981,166,0.673414409160614,0.5832133889198303,correto
165,0.6264574527740479,0.5714119076728821,166,0.6665601134300232,0.5805066823959351,correto
160,0.6043576598167419,0.5706986784934998,165,0.6501496434211731,0.5783394575119019,correto
152,0.5756909251213074,0.5695359706878662,165,0.6355771422386169,0.5752530694007874,correto
152,0.5561076402664185,0.5686389207839966,149,0.592149019241333,0.5740752220153809,correto
158,0.5490419864654541,0.5666125416755676,158,0.597929060459137,0.5721063017845154,correto
162,0.5365744233131409,0.5659043788909912,162,0.590400218963623,0.5723970532417297,correto
167,0.5355436205863953,0.564288318157196,165,0.5828332901000977,0.5715289115905762,correto
164,0.5241736769676208,0.5621495842933655,167,0.5794357061386108,0.5699557662010193,correto
165,0.5192203521728516,0.5605141520500183,161,0.565759539604187,0.5689865350723267,correto
165,0.5204105377197266,0.5604801774024963,162,0.5664427280426025,0.5611748099327087,correto
169,0.5289866924285889,0.560322642326355,163,0.566650927066803,0.5617308616638184,correto
163,0.5405513048171997,0.5615243911743164,165,0.5944245457649231,0.5615842342376709,correto
163,0.5428752899169922,0.5605801343917847,163,0.5938813090324402,0.5620691776275635,correto
170,0.5881595015525818,0.5551284551620483,161,0.6117965579032898,0.5564054250717163,correto
163,0.5987309217453003,0.5582756996154785,160,0.6220359802246094,0.5569213032722473,correto
165,0.6184448003768921,0.5637235641479492,161,0.6455335021018982,0.5578506588935852,correto
172,0.6371793150901794,0.5654575824737549,161,0.6524588465690613,0.5623072981834412,correto
173,0.6540202498435974,0.5659167170524597,163,0.6638908386230469,0.5686854124069214,correto
178,0.6775094270706177,0.5661927461624146,168,0.6791781783103943,0.5757185220718384,correto
178,0.6912147998809814,0.5674299597740173,172,0.6870661377906799,0.5775273442268372,correto
179,0.7126703858375549,0.5691365599632263,177,0.7057936191558838,0.5795062184333801,correto
179,0.7217532396316528,0.5699825286865234,178,0.7227126359939575,0.5809406042098999,correto
174,0.7334080338478088,0.5721395611763,175,0.7420094013214111,0.5825560688972473,correto
173,0.7463755011558533,0.5728488564491272,175,0.7573317289352417,0.5830978751182556,correto
174,0.7577337026596069,0.5735910534858704,174,0.7714625597000122,0.5834642648696899,correto
173,0.772845983505249,0.5750940442085266,172,0.7846329808235168,0.5843521952629089,correto
171,0.7764074206352234,0.5754905343055725,169,0.7899683117866516,0.5848209261894226,correto
170,0.7851714491844177,0.5758302807807922,169,0.7950806021690369,0.5851182341575623,correto
167,0.7936668395996094,0.5757895708084106,169,0.8020308613777161,0.5849838852882385,correto
166,0.7983765006065369,0.5756356716156006,166,0.8065164685249329,0.5847434997558594,correto
163,0.8022184371948242,0.5756888389587402,162,0.8119326829910278,0.5847885012626648,correto
162,0.8060463070869446,0.575783371925354,161,0.8137019872665405,0.5847578048706055,correto
160,0.8051519989967346,0.5758249759674072,159,0.8124562501907349,0.584659218788147,correto
158,0.8057355880737305,0.5757765173912048,158,0.8123811483383179,0.5846952199935913,correto
158,0.8052237629890442,0.5757391452789307,158,0.8128455877304077,0.5847066044807434,correto
158,0.8057113289833069,0.5756732225418091,158,0.8134193420410156,0.5847156643867493,correto
160,0.8042968511581421,0.5756422281265259,159,0.8147944211959839,0.5851837396621704,correto
161,0.8040847182273865,0.5756569504737854,161,0.8154998421669006,0.5851916670799255,correto
162,0.8025230169296265,0.5756474733352661,162,0.8157463073730469,0.5851751565933228,correto
165,0.7965413928031921,0.5755585432052612,162,0.8151713013648987,0.5852025151252747,correto
